estacion,nom_est,ciudad,longitud,latitud,x,y
2120141,Acandy,Nemocon,-73.89908333,5.0640833,1019785.15,1051742.22
2306516,Acomodo el ,La Vega,-74.30966667,5.0176667,974254.52,1046611.18
2306033,Agua fria,Quebradanegra,-74.47308333,5.1004167,956137.6,1055770.81
2120159,Alco,Cajica,-74.00780556,4.9678056,1007730.28,1041093.25
2120168,Alto de aire,Cucunuba,-73.81916667,5.1926389,1028641.27,1065961.42
2120215,America,Viota,-74.46105556,4.4484167,957431.12,983668.95
2120177,Anclaje 14,El Colegio,-74.42452778,4.5931944,961492.93,999676.93
2120051,Apostolica,Sibate,-74.24361111,4.5060278,981566.22,990030.69
2120559,Apto Guaymaral,Bogota,-74.05344444,4.791,1002669.44,1021541.32
2120644,Argelia,Ricaurte,-74.75077778,4.3575833,925265.44,973646.84
2120179,Argentina,Quipile,-74.51919444,4.7483889,950998.83,1016844.89
2401031,Arrayanes los,Tinjaca,-73.71355556,5.5915556,1040323.76,1110081.89
2120633,Barrancas,Tausa,-73.81394444,5.1676667,1029221.39,1063200.12
2119046,Batan,Pasca,-74.31258333,4.26175,973903.33,963020.15
2120075,Bojaca,Bojaca,-74.34236111,4.7313889,970616.37,1014954.96
2120187,Bombas sesquile,Sesquile,-73.81091667,5.0369167,1029563.07,1048741.37
2120085,Bosque el,Bogota,-74.08438889,4.4735556,999236.33,986437.79
2401511,Boyera la,Ubate,-73.85175,5.3038056,1025024.44,1078253.34
2401042,Caldas,Caldas,-73.86630556,5.5555278,1023401.29,1106089.47
2401115,Campamento ubate,Ubate,-73.81455556,5.2989167,1029147.56,1077714.33
2120173,Campobello,Madrid,-74.31105556,4.7525278,974090.32,1017291.31
2401026,Candelaria la,Raquira,-73.60452778,5.5195833,1052409.99,1102131.2
2401515,Carrizal,Cucunuba,-73.76755556,5.2039167,1034362.63,1067211.14
2401002,Carupa hospital,Carmen de Carupa,-73.89816667,5.3481944,1019877.88,1083160.38
2120112,Casita la,La Calera,-74.02005556,4.6360556,1006374.78,1004407.5
2120213,Cedral el,Cogua,-73.99455556,5.0544167,1009198.55,1050671.12
2401068,Central no 2,Puente Nacional,-73.70577778,5.7991667,1041170.72,1133041.63
2120540,Checua,Nemocon,-73.86141667,5.1168333,1023960,1057576.78
2120190,Col jose de caldas,Viota,-74.52558333,4.4426667,950268.84,983037.12
2120096,Consuelo el,Sesquile,-73.78091667,4.9907778,1032892.19,1043640.57
2120183,Dario valencia,El Colegio,-74.43608333,4.5984444,960210.94,1000258.13
2120630,Donia juana,Bogota,-74.13733333,4.5008333,993360.66,989454.46
2120138,Encanto el,Tausa,-73.89169444,5.1775556,1020600.86,1064290.63
2120641,Esc samper madrid,Apulo,-74.53569444,4.4731389,949148.7,986407.56
2306507,Esc vocacional pacho,Pacho,-74.12880556,5.1586667,994312.55,1062199.05
2120647,Esperanza la,La Mesa,-74.43027778,4.7060556,960861.1,1012157.84
2401033,Espino el,Lenguazaque,-73.73355556,5.3325556,1038124.22,1081438.71
2120632,Fortuna la,Villapinzon,-73.58741667,5.2608056,1054329.08,1073514.99
2120166,Fute el,Soacha,-74.28183333,4.5976389,977327.25,1000162.31
2306517,Guaduas,Guaduas,-74.59827778,5.0567222,942251.51,1050948.62
2120193,Guanquica,Tausa,-73.92602778,5.1906944,1016794.02,1065742.56
2120562,Guatavita,Guatavita,-73.86558333,4.9088333,1023505.44,1034575.26
2120214,Guerrero,Zipaquira,-74.04502778,5.1151389,1003601.37,1057385.47
2401030,Hatillo el,Suesca,-73.78763889,5.1560556,1032138.51,1061917.38
2401052,Hato no 1 el,Carmen de Carupa,-73.92416667,5.288,1016997.72,1076503.04
2401053,Hato no 2 el,Carmen de Carupa,-73.92544444,5.2638056,1016856.74,1073827.49
2401057,Hato no 6 el,Carmen de Carupa,-73.95066667,5.224,1014061.66,1069425.02
2119047,Hda la mesa,Pasca,-74.27869444,4.3054167,977666.75,967847.8
2120548,Iberia la,Choconta,-73.72430556,5.0370556,1039167.72,1048761.29
2401110,Isla del santuario,Fuquene,-73.73441667,5.468,1038020.33,1096416.92
2401069,Juan pablo ii,Chiquinquira,-73.80927778,5.6137778,1029717.09,1112533.66
2306040,La rana,Utica,-74.54025,5.1206667,948691.45,1058015.15
2120169,Ladera grande,Tausa,-73.85166667,5.1726944,1025038.89,1063754.51
2120184,Lag del indio,Viota,-74.45816667,4.4109167,957749.63,979521.91
2120170,Llano el,Tausa,-73.82802778,5.1725556,1027659.75,1063740.13
2306039,Los tiestos,La Palma,-74.40816667,5.3559167,963350.67,1084021.3
2120174,Manjui,Facatativa,-74.38844444,4.8024167,965507.24,1022811.59
2120071,Margaritas las,Subachoque,-74.25016667,4.8325556,980847.56,1026139
2120639,Mesa la,La Mesa,-74.48175,4.6246389,955145.14,1003157.53
2120646,Mesitas,El Colegio,-74.43905556,4.5788056,959880.03,998086.56
2401036,Monserrate,Fuquene,-73.79752778,5.4033056,1031029.8,1089259.03
2120195,Montecillos,Guatavita,-73.82405556,4.9141667,1028111.26,1035166.64
2120561,Muna el,Sibate,-74.2657057,4.4658906,979113.05,985592.85
2306308,Negrete,Pacho,-74.15402778,5.0967222,991515.3,1055349.31
2401519,Novilleros,Ubate,-73.78491667,5.3356667,1032431.06,1081779.81
2119022,Pajas blancas,Nilo,-74.55669444,4.3546667,946809.55,973307.84
2120652,Paloquemao,Zipacon,-74.40652778,4.72975,963497.37,1014776.77
2120634,Paraiso perdido,Sibate,-74.29113889,4.4976667,976291.4,989107.48
2401049,Pedregal el,Sutatausa,-73.87741667,5.2194444,1022182.36,1068923.35
2120182,Penias blancas,El Colegio,-74.37819444,4.56325,966632.97,996363.26
2401116,Pinos los,Suesca,-73.78041667,5.1924167,1032937.38,1065938.73
2312019,Pinos los,San Cayetano,-74.0275,5.2409444,1005543.74,1071297.6
2123502,Placer el,Puli,-74.71727778,4.674,929014.94,1008635.49
2120691,Planadas,Subachoque,-74.10955556,5.0594722,996446.28,1051229.68
2120557,Primavera la,Subachoque,-74.21191667,4.8578333,985091.06,1028933.32
2401038,Puente el,Guacheta,-73.67005556,5.3686389,1045160.12,1085433.33
2120516,Ramada la,Funza,-74.17719444,4.7031944,988940.06,1011832.36
2120541,Represa del neusa,Cogua,-73.97119444,5.1388056,1011787.52,1011787.52
2401534,Represa el hato,Carmen de Carupa,-73.90513889,5.3036667,1019106.46,1078236.08
2120088,Salitre el,Tausa,-74.00394444,5.1795,1008155.84,1064503.11
2306034,San isidro,Villeta,-74.4849362,5.0075448,954816.88,1045501.32
2120080,San jose,Guasca,-73.90458333,4.8499167,1019181.44,1028058.85
2120027,Saucio,Choconta,-73.70619444,5.1088056,1041171.6,1056696.9
2401513,Simijaca,Simijaca,-73.85802778,5.5120833,1024320.25,1101285.48
2401037,Socota,Carmen de Carupa,-73.91925,5.4080556,1017539.32,1089779.45
2120136,Sta ines,Tenjo,-74.1415,4.8065,992901.32,1023255.63
2120176,Sta isabel,Tabio,-74.06794444,4.9953333,1001060.58,1044136.94
2120103,Sta teresa,La Calera,-73.93119444,4.7456667,1016232.09,1016529.94
2120069,Tesoro,Facatativa,-74.31777778,4.8003889,973346.4,1022584.19
2120077,Torca,Bogota,-74.02805556,4.7908333,1005485.91,1021523.04
2401044,Tres esquinas,Susa,-73.85780556,5.3858889,1024349.96,1087330.26
2401039,Triangulo el,Lenguazaque,-73.61930556,5.3108889,1050789.88,1079050.89
2120185,Tribuna la,Facatativa,-74.41066667,4.8661389,963045.52,1029859.4
2120055,Union la,Subachoque,-74.25138889,4.8746944,980713.18,1030798.87
2119514,Univ. Fusagasuga,Fusagasuga,-74.37025,4.3356667,967504.6,971196.19
2120629,Venecia,Facatativa,-74.39952778,4.8441389,964279.92,1027425.96
2120640,Victoria la,Tocaima,-74.60863889,4.4659444,941052.25,985617.41
2120043,Villapinzon,Villapinzon,-73.6,5.2105556,1052938.35,1067956.9
2120637,Violetas las,Agua de Dios,-74.68763889,4.3785556,932276.17,975960.13
2401051,Zarzal el,Guacheta,-73.65766667,5.4423056,1046527.65,1093580.84
2120074,Zipaquira,Zipaquira,-73.999,5.0240556,1008706.11,1047313.64